JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
"Associate Marketing Manager, Marketing Operations",Paramount+,"New York, NY 10016 (Gramercy area)",,2022-08-09,,Full-time,https://www.indeed.com/rc/clk?jk=2d07ff014c19cb4e&fccid=30cb52ad6dd37131&vjs=3
Associate Influencer Marketing Manager,Movers+Shakers,"Remote in New York, NY",,2022-08-09,, ,https://www.indeed.com/rc/clk?jk=b4ce3509d324d905&fccid=03a84b4c1b6d8d1b&vjs=3
"Associate Manager, Content Marketing",Audible,"Hybrid remote in Newark, NJ",,2022-08-09,,Full-time,https://www.indeed.com/rc/clk?jk=02d5f07ba8e05912&fccid=3e9b269328805689&vjs=3
"Associate Manager/Manager, Audience Development",Universal Music Group,"New York, NY 10019 (Midtown area)",,2022-08-09,, ,https://www.indeed.com/rc/clk?jk=5a1e74842a0da730&fccid=cc6e623ce335957a&vjs=3
Associate Marketing Manager,"Reservoir Media Management, Inc.","New York, NY 10013 (SoHo area)",,2022-08-09,,"$49,000 - $124,541 a year","https://www.indeed.com/company/Reservoir-Media-Management,-Inc./jobs/Associate-Marketing-Manager-ec84de8eef03b996?fccid=0e105f3cff364998&vjs=3"
Associate Manager - Todd Snyder Social Media Marketing,American Eagle Outfitters,"New York, NY",,2022-08-09,, ,https://www.indeed.com/rc/clk?jk=c9893235b4fd5118&fccid=dc736c3075273e2c&vjs=3
"Associate Manager, Wholesale Marketing",Michael Kors,"Hybrid remote in New York, NY",,2022-08-09,,Full-time,https://www.indeed.com/rc/clk?jk=75be88a075a47867&fccid=927356efef1f3075&vjs=3
"Associate Marketing Manager, Global Brands",Scholastic,"New York, NY",,2022-08-09,,Full-time,https://www.indeed.com/rc/clk?jk=34895b7372a3c599&fccid=f8bb8eb40f54f89f&vjs=3
"Associate Manager, Paid Social and Programmatic Marketing",Foot Locker,"Hybrid remote in New York, NY 10001",,2022-08-09,,Full-time,https://www.indeed.com/rc/clk?jk=13c40383b8d0ab00&fccid=5c616ca9b51e8497&vjs=3
"Associate Regional Marketing Manager , Franchise (Remote)",Gap Inc.,"Remote in New York, NY 10013",,2022-08-09,,Full-time,https://www.indeed.com/rc/clk?jk=488cf7cc10cfb8d3&fccid=76644a33987f2488&vjs=3
Associate Manager Integrated Marketing,"Vox Media, LLC","Remote in New York, NY 10004",,2022-08-09,,Full-time,https://www.indeed.com/rc/clk?jk=2a0a60215f3de1d2&fccid=4f02d78fd54fbd56&vjs=3
"Associate Manager, Global Marketing – Gifting & Brand Animation Marketing",Fresh,"Remote in New York, NY",,2022-08-09,, ,https://www.indeed.com/rc/clk?jk=ab23afa99d5faf87&fccid=6458ba009eede0b6&vjs=3
Communications Associate Manager,DECIEM,"New York, NY 10012 (SoHo area)",,2022-08-09,,Full-time,https://www.indeed.com/rc/clk?jk=f2dd09392b2be07d&fccid=27e12141d4dd5bc6&vjs=3
Associate Brand Manager,GoGo squeeZ,"Hybrid remote in New York, NY 10010",,2022-08-09,,"$80,000 - $95,000 a year",https://www.indeed.com/rc/clk?jk=74814b43ef7e7a32&fccid=f7c440d5af5281ff&vjs=3
Associate Product Marketing Manager,MongoDB,"Remote in New York, NY 10019",,2022-08-09,, ,https://www.indeed.com/rc/clk?jk=d33e4bab99e3f9a2&fccid=5c80575a010bbc63&vjs=3
